round_name,heat_id,heat_name,competition_competitor_id,bib_number,starting_position,final_rank,final_result,final_points,result_status,qualification_code,record_flag,num_laps,json_source
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,a9d7de7a-d561-43e7-9d2b-a25f5b720ea8,31,1,1.0,42.162,,,Q,,5,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,6966756c-063a-4dad-8481-de3a5060fba8,145,2,2.0,42.232,,,q,,5,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,aec5d4c4-5b9a-49a6-9803-d76affd5bdae,99,3,3.0,42.356,,,,,5,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,dc80c9c3-094f-4762-a72d-5dc47a1b9d47,44,5,4.0,42.379,,,,,5,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,69ff363e-e62c-408d-934a-8315964a100d,165,4,5.0,42.650,,,,,5,seoul_man
Preliminaries,af201b61-57e2-4cb7-a185-6bfc53d8f0cd,Heat 2,29f872c9-cead-450c-9997-3b6d6dacc1e8,23,3,1.0,41.718,,,Q,,5,seoul_man
Preliminaries,af201b61-57e2-4cb7-a185-6bfc53d8f0cd,Heat 2,17cf500c-d597-4fd2-ac27-62e8aabe6d11,32,1,2.0,41.909,,,q,,5,seoul_man
Preliminaries,af201b61-57e2-4cb7-a185-6bfc53d8f0cd,Heat 2,996efec1-974c-4d9d-8e24-17babe3ddf17,105,4,3.0,41.928,,,,,5,seoul_man
Preliminaries,af201b61-57e2-4cb7-a185-6bfc53d8f0cd,Heat 2,e8c2bb25-db3d-416c-a9d4-49f1721c7e1e,112,2,4.0,42.714,,,,,5,seoul_man
Preliminaries,af201b61-57e2-4cb7-a185-6bfc53d8f0cd,Heat 2,684d77eb-e2b4-4b0f-b5aa-7a32a1cc99ac,130,5,5.0,43.557,,,,,5,seoul_man
Preliminaries,4b767742-7b21-45bf-9bc7-dac58bf37958,Heat 3,1f32c0f8-b7d1-4442-a6a5-ab8763ab06d1,106,2,1.0,42.531,,,Q,,5,seoul_man
Preliminaries,4b767742-7b21-45bf-9bc7-dac58bf37958,Heat 3,c7b3a7a6-7d73-4870-81c0-983009b1a7df,116,4,2.0,42.715,,,,,5,seoul_man
Preliminaries,4b767742-7b21-45bf-9bc7-dac58bf37958,Heat 3,035de887-d22a-4161-8f98-03ffbea1fec1,161,5,3.0,43.116,,,,,5,seoul_man
Preliminaries,4b767742-7b21-45bf-9bc7-dac58bf37958,Heat 3,398f4d0a-6c05-40de-b3f1-8866b6ff5158,54,1,4.0,no time,,,ADV,,4,seoul_man
