round_name,heat_id,heat_name,display_order,result_status,status,start_date,start_year,start_month,start_day,start_hour,start_minute,time_zone,photo_finish_url,num_competitors,json_source
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,1,Official,Finished,2024-12-13T10:23:11+00:00,2024,12,13,10,23,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=c7094c79-ab1a-427c-8c72-fea4f13ddbdb,5,seoul_man
Preliminaries,af201b61-57e2-4cb7-a185-6bfc53d8f0cd,Heat 2,2,Official,Finished,2024-12-13T10:25:34+00:00,2024,12,13,10,25,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=af201b61-57e2-4cb7-a185-6bfc53d8f0cd,5,seoul_man
Preliminaries,4b767742-7b21-45bf-9bc7-dac58bf37958,Heat 3,3,Official,Finished,2024-12-13T10:28:03+00:00,2024,12,13,10,28,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=4b767742-7b21-45bf-9bc7-dac58bf37958,5,seoul_man
Preliminaries,8f94c91d-93f1-42af-8e86-ee44622e6970,Heat 4,4,Official,Finished,2024-12-13T10:32:32+00:00,2024,12,13,10,32,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=8f94c91d-93f1-42af-8e86-ee44622e6970,5,seoul_man
Preliminaries,4841c03d-0409-47e4-ba40-0451b0624192,Heat 5,5,Official,Finished,2024-12-13T10:33:00+00:00,2024,12,13,10,33,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=4841c03d-0409-47e4-ba40-0451b0624192,5,seoul_man
Preliminaries,88de5ae5-289e-4340-a9b4-4190065dfcc2,Heat 6,6,Official,Finished,2024-12-13T10:40:52+00:00,2024,12,13,10,40,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=88de5ae5-289e-4340-a9b4-4190065dfcc2,5,seoul_man
Preliminaries,f2811794-4016-4e42-aefb-fb55f427c33e,Heat 7,7,Official,Finished,2024-12-13T10:44:11+00:00,2024,12,13,10,44,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=f2811794-4016-4e42-aefb-fb55f427c33e,5,seoul_man
Preliminaries,d213a244-f6be-4a12-a620-65f0854e7439,Heat 8,8,Official,Finished,2024-12-13T10:46:31+00:00,2024,12,13,10,46,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=d213a244-f6be-4a12-a620-65f0854e7439,5,seoul_man
Preliminaries,4b48e988-a6df-4bed-8168-8e027e1c2d8f,Heat 9,9,Official,Finished,2024-12-13T10:48:43+00:00,2024,12,13,10,48,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=4b48e988-a6df-4bed-8168-8e027e1c2d8f,5,seoul_man
Preliminaries,a3c5d5a3-fcfe-4f60-bdb7-4f37c69ec820,Heat 10,10,Official,Finished,2024-12-13T10:51:49+00:00,2024,12,13,10,51,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=a3c5d5a3-fcfe-4f60-bdb7-4f37c69ec820,5,seoul_man
Preliminaries,18e0d66c-9543-47d5-9d2d-9d53132ae31d,Heat 11,11,Official,Finished,2024-12-13T10:54:10+00:00,2024,12,13,10,54,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=18e0d66c-9543-47d5-9d2d-9d53132ae31d,4,seoul_man
Heats,71c5b8c3-7f2b-4c52-b3a6-77206b1dfbfe,Heat 1,1,Official,Finished,2024-12-13T15:01:02+00:00,2024,12,13,15,1,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=71c5b8c3-7f2b-4c52-b3a6-77206b1dfbfe,5,seoul_man
Heats,d56e7ac6-c963-4672-9d1f-a2058f23fd9a,Heat 2,2,Official,Finished,2024-12-13T15:03:18+00:00,2024,12,13,15,3,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=d56e7ac6-c963-4672-9d1f-a2058f23fd9a,5,seoul_man
Heats,f9c03e3c-fa0d-481d-9714-652c34821ddc,Heat 3,3,Official,Finished,2024-12-13T15:05:43+00:00,2024,12,13,15,5,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=f9c03e3c-fa0d-481d-9714-652c34821ddc,5,seoul_man
