round_name,heat_id,heat_name,competition_competitor_id,bib_number,lap_number,rank,lap_time,total_time,result_diff,json_source
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,a9d7de7a-d561-43e7-9d2b-a25f5b720ea8,31,1,1,6.790,6.790,0.000,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,a9d7de7a-d561-43e7-9d2b-a25f5b720ea8,31,2,1,8.980,15.770,0.000,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,a9d7de7a-d561-43e7-9d2b-a25f5b720ea8,31,3,1,8.540,24.310,0.000,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,a9d7de7a-d561-43e7-9d2b-a25f5b720ea8,31,4,1,8.780,33.090,0.000,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,a9d7de7a-d561-43e7-9d2b-a25f5b720ea8,31,5,1,9.072,42.162,0.000,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,6966756c-063a-4dad-8481-de3a5060fba8,145,1,2,6.900,6.900,+0.110,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,6966756c-063a-4dad-8481-de3a5060fba8,145,2,2,8.970,15.870,+0.100,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,6966756c-063a-4dad-8481-de3a5060fba8,145,3,2,8.530,24.400,+0.090,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,6966756c-063a-4dad-8481-de3a5060fba8,145,4,2,8.780,33.180,+0.090,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,6966756c-063a-4dad-8481-de3a5060fba8,145,5,2,9.052,42.232,+0.070,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,aec5d4c4-5b9a-49a6-9803-d76affd5bdae,99,1,3,7.050,7.050,+0.260,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,aec5d4c4-5b9a-49a6-9803-d76affd5bdae,99,2,3,8.970,16.020,+0.250,seoul_man
Preliminaries,c7094c79-ab1a-427c-8c72-fea4f13ddbdb,Heat 1,aec5d4c4-5b9a-49a6-9803-d76affd5bdae,99,3,3,8.510,24.530,+0.220,seoul_man
