round_name,heat_id,heat_name,competition_competitor_id,bib_number,starting_position,final_rank,final_result,final_points,result_status,qualification_code,record_flag,num_laps,json_source
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,bc862a99-8b83-474d-a2bb-e51db80b59e1,97,2,1.0,44.696,,,Q,,5,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,6df8a73c-8639-4c0d-bd98-ed669b028868,54,1,2.0,44.847,,,Q,,5,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,f5194e5e-0e99-4719-9b22-d05eedfdfec8,42,4,3.0,45.469,,,Q,,5,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,9ba3441b-d1b3-4f50-9ff6-7acc67325c81,67,3,4.0,45.545,,,q,,5,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,f0e78803-4eda-4f29-b7c5-b46339cca8ab,61,5,5.0,46.145,,,,,5,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,a0337d9b-d1ea-42e6-b9b3-ac83e0e11cd8,59,1,1.0,45.319,,,Q,,5,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,216b5d89-848a-4830-9fe3-2fba1e366969,39,2,2.0,45.432,,,Q,,5,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,0ed93a45-a373-484c-a61b-061e55ce2e53,60,3,3.0,45.512,,,Q,,5,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,1a4e97a0-fb9c-4cd5-95e8-69ffcc700069,108,4,4.0,45.570,,,q,,5,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,b73a6ef5-604a-4a64-80d5-f13e2d5d9626,110,5,5.0,46.613,,,,,5,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,bce0f8e1-9172-4cd2-9396-25fca65dcff4,18,2,1.0,44.589,,,Q,,5,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,c9102b97-afc8-4faf-9150-06b16d73b3a5,25,1,2.0,44.656,,,Q,,5,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,9ad68731-3b70-4e4d-958b-a87b096ba0f5,72,3,3.0,44.756,,,Q,,5,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,fca96d99-224c-4897-af3e-19dca0041f5d,96,4,4.0,45.941,,,,,5,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,e419decc-5bcf-40ac-aa0f-2910567c563e,58,1,1.0,45.404,,,Q,,5,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,63eaa77e-e1ab-4d81-b03e-55a196ee247d,89,3,2.0,45.496,,,Q,,5,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,68682767-ef3c-4b4d-8031-c4ffa3f26404,80,4,3.0,45.565,,,Q,,5,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,7559aa92-cebb-452b-833f-d4b2850033c1,83,2,4.0,45.671,,,,,5,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,53c63257-c759-4293-8f77-23dcd451234b,50,1,1.0,45.503,,,Q,,5,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,9a11aa40-3413-4817-a662-2c5c700ff511,68,4,2.0,45.562,,,Q,,5,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,7cb688bb-5c6c-4a9e-b4a8-880eced53c45,55,2,3.0,45.851,,,Q,,5,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,499b3fda-e391-479f-a02c-df47ec4040b7,109,3,4.0,47.962,,,,,5,seoul_woman
