round_name,heat_id,heat_name,display_order,result_status,status,start_date,start_year,start_month,start_day,start_hour,start_minute,time_zone,photo_finish_url,num_competitors,json_source
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,1,Official,Finished,2024-12-13T10:07:43+00:00,2024,12,13,10,7,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=b8af30a1-686a-4ecc-8868-8789412312e6,5,seoul_woman
Preliminaries,123bcaa4-6031-43b2-95c6-b57250281e6f,Heat 2,2,Official,Finished,2024-12-13T10:10:00+00:00,2024,12,13,10,10,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=123bcaa4-6031-43b2-95c6-b57250281e6f,5,seoul_woman
Preliminaries,b6d1d4c0-85ca-4b09-800b-28e3dd174685,Heat 3,3,Official,Finished,2024-12-13T10:12:14+00:00,2024,12,13,10,12,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=b6d1d4c0-85ca-4b09-800b-28e3dd174685,4,seoul_woman
Preliminaries,5fcdc159-ba75-4b8c-83b1-b31395c89c78,Heat 4,4,Official,Finished,2024-12-13T10:14:28+00:00,2024,12,13,10,14,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=5fcdc159-ba75-4b8c-83b1-b31395c89c78,4,seoul_woman
Preliminaries,facc70a8-06d9-42b5-aabf-977ea04e54a1,Heat 5,5,Official,Finished,2024-12-13T10:16:49+00:00,2024,12,13,10,16,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=facc70a8-06d9-42b5-aabf-977ea04e54a1,4,seoul_woman
Preliminaries,90fda20f-6112-4245-81b2-c7f2bdad9f19,Heat 6,6,Official,Finished,2024-12-13T10:17:00+00:00,2024,12,13,10,17,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=90fda20f-6112-4245-81b2-c7f2bdad9f19,4,seoul_woman
Heats,8d6ce0ee-9cef-4419-848c-536ff33e6718,Heat 1,1,Official,Finished,2024-12-13T14:34:00+00:00,2024,12,13,14,34,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=8d6ce0ee-9cef-4419-848c-536ff33e6718,5,seoul_woman
Heats,012cf3bf-9a21-46b9-9b1f-b3a2863e8f42,Heat 2,2,Official,Finished,2024-12-13T14:37:56+00:00,2024,12,13,14,37,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=012cf3bf-9a21-46b9-9b1f-b3a2863e8f42,5,seoul_woman
Heats,65c1891d-fce4-4bc5-9516-69a6deeee6fe,Heat 3,3,Official,Finished,2024-12-13T14:40:14+00:00,2024,12,13,14,40,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=65c1891d-fce4-4bc5-9516-69a6deeee6fe,5,seoul_woman
Heats,b069f944-cad0-46e0-81f7-be47ab2ba7bd,Heat 4,4,Official,Finished,2024-12-13T14:42:37+00:00,2024,12,13,14,42,Etc/UTC,https://archive.isu.swisstiming.com/api-general/v1/photo-finish/?sourceId=b069f944-cad0-46e0-81f7-be47ab2ba7bd,5,seoul_woman
