round_name,heat_id,heat_name,competition_competitor_id,bib_number,lap_number,rank,lap_time,total_time,result_diff,json_source
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,bc862a99-8b83-474d-a2bb-e51db80b59e1,97,1,2,7.560,7.560,+0.090,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,bc862a99-8b83-474d-a2bb-e51db80b59e1,97,2,1,9.600,17.160,0.000,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,bc862a99-8b83-474d-a2bb-e51db80b59e1,97,3,1,9.000,26.160,0.000,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,bc862a99-8b83-474d-a2bb-e51db80b59e1,97,4,1,9.110,35.270,0.000,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,bc862a99-8b83-474d-a2bb-e51db80b59e1,97,5,1,9.426,44.696,0.000,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,6df8a73c-8639-4c0d-bd98-ed669b028868,54,1,1,7.470,7.470,0.000,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,6df8a73c-8639-4c0d-bd98-ed669b028868,54,2,2,9.730,17.200,+0.040,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,6df8a73c-8639-4c0d-bd98-ed669b028868,54,3,2,9.070,26.270,+0.110,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,6df8a73c-8639-4c0d-bd98-ed669b028868,54,4,2,9.130,35.400,+0.130,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,6df8a73c-8639-4c0d-bd98-ed669b028868,54,5,2,9.447,44.847,+0.151,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,f5194e5e-0e99-4719-9b22-d05eedfdfec8,42,1,4,7.950,7.950,+0.480,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,f5194e5e-0e99-4719-9b22-d05eedfdfec8,42,2,4,9.530,17.480,+0.320,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,f5194e5e-0e99-4719-9b22-d05eedfdfec8,42,3,4,9.030,26.510,+0.350,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,f5194e5e-0e99-4719-9b22-d05eedfdfec8,42,4,4,9.230,35.740,+0.470,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,f5194e5e-0e99-4719-9b22-d05eedfdfec8,42,5,3,9.729,45.469,+0.773,seoul_woman
Preliminaries,b8af30a1-686a-4ecc-8868-8789412312e6,Heat 1,9ba3441b-d1b3-4f50-9ff6-7acc67325c81,67,1,3,7.750,7.750,+0.280,seoul_woman
